G1;G2;|G1|;|G2|;Coeff Vars;Coeff Lits;
 [f('$VAR'(6)),f('$VAR'(1)),h('$VAR'(9),'$VAR'(7),'$VAR'(3)),h('$VAR'(7),'$VAR'(4),'$VAR'(3)),f('$VAR'(2)),f('$VAR'(4)),g('$VAR'(5),'$VAR'(10)),h('$VAR'(5),'$VAR'(1),'$VAR'(8)),h('$VAR'(6),'$VAR'(2),'$VAR'(10)),h('$VAR'(5),'$VAR'(6),'$VAR'(1)),h('$VAR'(4),'$VAR'(7),'$VAR'(2)),i('$VAR'(3),'$VAR'(6)),f('$VAR'(10)),f('$VAR'(1)),f('$VAR'(2)),i('$VAR'(2),'$VAR'(8))]; [h('$VAR'(15),R,S),i('$VAR'(17),S),g('$VAR'(16),'$VAR'(14)),h('$VAR'(14),'$VAR'(17),T),g('$VAR'(13),'$VAR'(15)),h('$VAR'(11),'$VAR'(11),'$VAR'(16)),f('$VAR'(12)),h(T,T,S),g('$VAR'(12),'$VAR'(13)),f(T),h('$VAR'(16),'$VAR'(12),'$VAR'(16)),g('$VAR'(12),R),f('$VAR'(15)),i('$VAR'(12),'$VAR'(14)),g('$VAR'(16),'$VAR'(11)),h('$VAR'(14),'$VAR'(17),'$VAR'(16)),f(S),i('$VAR'(14),'$VAR'(17)),h('$VAR'(16),S,'$VAR'(17))];16;19;3628800;9072000;
 [i('$VAR'(3),'$VAR'(9)),g('$VAR'(4),'$VAR'(10)),f('$VAR'(5)),g('$VAR'(1),'$VAR'(7)),f('$VAR'(7)),g('$VAR'(4),'$VAR'(2)),h('$VAR'(1),'$VAR'(9),'$VAR'(9)),i('$VAR'(1),'$VAR'(4)),i('$VAR'(2),'$VAR'(4)),g('$VAR'(10),'$VAR'(7)),f('$VAR'(9)),g('$VAR'(9),'$VAR'(8)),f('$VAR'(9)),i('$VAR'(4),'$VAR'(1)),f('$VAR'(4)),h('$VAR'(1),'$VAR'(7),'$VAR'(9))]; [f(S),i('$VAR'(12),'$VAR'(16)),g('$VAR'(12),'$VAR'(16)),h('$VAR'(12),'$VAR'(17),'$VAR'(17)),f('$VAR'(16)),h(T,'$VAR'(17),R),f('$VAR'(17)),g('$VAR'(17),'$VAR'(11)),i('$VAR'(12),'$VAR'(13)),h('$VAR'(11),'$VAR'(15),'$VAR'(16)),h('$VAR'(12),'$VAR'(15),'$VAR'(13)),h(R,'$VAR'(17),'$VAR'(17)),h(T,S,'$VAR'(16)),h('$VAR'(11),S,S),f('$VAR'(11)),f('$VAR'(17)),f(T),g('$VAR'(11),'$VAR'(16)),h('$VAR'(12),T,'$VAR'(14))];16;19;3628800;7776000;
 [f('$VAR'(9)),h('$VAR'(10),'$VAR'(6),'$VAR'(8)),h('$VAR'(5),'$VAR'(8),'$VAR'(7)),i('$VAR'(8),'$VAR'(10)),i('$VAR'(9),'$VAR'(3)),f('$VAR'(5)),h('$VAR'(3),'$VAR'(8),'$VAR'(7)),g('$VAR'(6),'$VAR'(2)),h('$VAR'(5),'$VAR'(1),'$VAR'(2)),f('$VAR'(4)),h('$VAR'(3),'$VAR'(7),'$VAR'(4)),f('$VAR'(2)),g('$VAR'(9),'$VAR'(10)),g('$VAR'(2),'$VAR'(10)),i('$VAR'(1),'$VAR'(3)),g('$VAR'(5),'$VAR'(1)),i('$VAR'(2),'$VAR'(6))]; [f('$VAR'(14)),h('$VAR'(12),T,'$VAR'(13)),i('$VAR'(13),'$VAR'(13)),i(R,'$VAR'(14)),g('$VAR'(17),'$VAR'(12)),i('$VAR'(13),T),f('$VAR'(15)),i('$VAR'(11),R),h(T,T,T),g('$VAR'(11),'$VAR'(16)),h('$VAR'(14),S,'$VAR'(15)),g('$VAR'(13),S),f('$VAR'(12)),i(S,'$VAR'(12)),i('$VAR'(13),'$VAR'(12)),h('$VAR'(15),'$VAR'(11),'$VAR'(15)),f('$VAR'(17)),f('$VAR'(17))];17;18;3628800;6912000;
 [h('$VAR'(6),'$VAR'(8),'$VAR'(5)),f('$VAR'(8)),i('$VAR'(5),'$VAR'(2)),i('$VAR'(1),'$VAR'(2)),i('$VAR'(10),'$VAR'(5)),h('$VAR'(5),'$VAR'(4),'$VAR'(9)),g('$VAR'(8),'$VAR'(1)),h('$VAR'(3),'$VAR'(2),'$VAR'(3)),i('$VAR'(10),'$VAR'(8)),i('$VAR'(7),'$VAR'(7)),i('$VAR'(6),'$VAR'(9)),h('$VAR'(4),'$VAR'(2),'$VAR'(4)),i('$VAR'(3),'$VAR'(4)),h('$VAR'(4),'$VAR'(9),'$VAR'(7)),i('$VAR'(10),'$VAR'(6)),f('$VAR'(9)),f('$VAR'(10)),h('$VAR'(6),'$VAR'(9),'$VAR'(5))]; [i(R,R),f('$VAR'(16)),h('$VAR'(17),'$VAR'(12),'$VAR'(12)),g('$VAR'(11),'$VAR'(11)),i('$VAR'(15),'$VAR'(12)),i(S,T),h('$VAR'(16),'$VAR'(15),S),i('$VAR'(17),'$VAR'(15)),i(R,'$VAR'(14)),i('$VAR'(13),'$VAR'(12)),i('$VAR'(14),'$VAR'(17)),h('$VAR'(11),'$VAR'(14),'$VAR'(13)),i('$VAR'(13),S),i('$VAR'(11),T),i('$VAR'(15),T),g('$VAR'(14),R)];18;16;3628800;6531840;
 [g('$VAR'(9),'$VAR'(10)),i('$VAR'(4),'$VAR'(2)),f('$VAR'(1)),h('$VAR'(9),'$VAR'(3),'$VAR'(3)),g('$VAR'(6),'$VAR'(3)),f('$VAR'(5)),f('$VAR'(6)),i('$VAR'(8),'$VAR'(6)),i('$VAR'(9),'$VAR'(5)),f('$VAR'(6)),i('$VAR'(6),'$VAR'(2)),i('$VAR'(9),'$VAR'(9)),f('$VAR'(3)),g('$VAR'(7),'$VAR'(6)),i('$VAR'(7),'$VAR'(9)),g('$VAR'(10),'$VAR'(10)),i('$VAR'(9),'$VAR'(10)),f('$VAR'(4))]; [f(S),h('$VAR'(13),S,'$VAR'(17)),f('$VAR'(13)),h(S,T,'$VAR'(17)),i('$VAR'(13),'$VAR'(12)),f(T),g('$VAR'(14),'$VAR'(11)),h('$VAR'(13),R,R),g('$VAR'(12),R),i(T,'$VAR'(13)),g('$VAR'(15),'$VAR'(16)),i('$VAR'(12),'$VAR'(11)),h('$VAR'(16),S,'$VAR'(17)),i('$VAR'(12),S),f('$VAR'(13)),i('$VAR'(14),'$VAR'(13)),g(R,'$VAR'(16))];18;17;3628800;6220800;
 [i('$VAR'(7),'$VAR'(7)),f('$VAR'(2)),g('$VAR'(8),'$VAR'(6)),i('$VAR'(4),'$VAR'(7)),g('$VAR'(1),'$VAR'(4)),i('$VAR'(9),'$VAR'(9)),g('$VAR'(7),'$VAR'(5)),h('$VAR'(6),'$VAR'(10),'$VAR'(10)),g('$VAR'(6),'$VAR'(2)),f('$VAR'(6)),i('$VAR'(3),'$VAR'(2)),f('$VAR'(7)),h('$VAR'(2),'$VAR'(2),'$VAR'(4)),i('$VAR'(6),'$VAR'(3)),f('$VAR'(1)),i('$VAR'(5),'$VAR'(2)),i('$VAR'(10),'$VAR'(2)),g('$VAR'(4),'$VAR'(3))]; [f('$VAR'(11)),h('$VAR'(13),'$VAR'(12),'$VAR'(15)),h(S,'$VAR'(13),S),h('$VAR'(16),'$VAR'(12),'$VAR'(12)),g('$VAR'(15),S),f('$VAR'(14)),f('$VAR'(15)),f('$VAR'(15)),f('$VAR'(16)),h('$VAR'(15),'$VAR'(17),S),g('$VAR'(11),R),i(R,'$VAR'(14)),g('$VAR'(11),T),i(S,T),f('$VAR'(17)),f('$VAR'(17)),i(S,'$VAR'(13)),f('$VAR'(11))];18;18;3628800;6048000;
 [i('$VAR'(10),'$VAR'(7)),f('$VAR'(7)),h('$VAR'(3),'$VAR'(4),'$VAR'(3)),h('$VAR'(7),'$VAR'(8),'$VAR'(4)),g('$VAR'(9),'$VAR'(3)),i('$VAR'(8),'$VAR'(9)),i('$VAR'(7),'$VAR'(7)),g('$VAR'(3),'$VAR'(8)),f('$VAR'(9)),f('$VAR'(2)),i('$VAR'(10),'$VAR'(5)),h('$VAR'(2),'$VAR'(5),'$VAR'(5)),i('$VAR'(10),'$VAR'(4)),h('$VAR'(9),'$VAR'(6),'$VAR'(2)),i('$VAR'(2),'$VAR'(1)),h('$VAR'(9),'$VAR'(5),'$VAR'(3)),g('$VAR'(9),'$VAR'(10))]; [g('$VAR'(15),'$VAR'(15)),h('$VAR'(15),S,'$VAR'(16)),i(S,'$VAR'(11)),h('$VAR'(12),'$VAR'(16),'$VAR'(17)),f('$VAR'(14)),i('$VAR'(13),'$VAR'(15)),f('$VAR'(12)),h('$VAR'(15),S,R),g('$VAR'(13),'$VAR'(14)),i('$VAR'(14),'$VAR'(13)),g('$VAR'(12),'$VAR'(16)),i('$VAR'(12),'$VAR'(15)),i(R,'$VAR'(17)),h('$VAR'(16),'$VAR'(11),'$VAR'(14)),i(R,'$VAR'(13)),h('$VAR'(11),R,S),i('$VAR'(17),R)];17;17;3628800;5443200;
 [h('$VAR'(5),'$VAR'(6),'$VAR'(3)),f('$VAR'(7)),h('$VAR'(4),'$VAR'(1),'$VAR'(4)),h('$VAR'(6),'$VAR'(10),'$VAR'(10)),i('$VAR'(6),'$VAR'(4)),i('$VAR'(7),'$VAR'(1)),i('$VAR'(1),'$VAR'(4)),g('$VAR'(10),'$VAR'(2)),f('$VAR'(1)),g('$VAR'(5),'$VAR'(1)),f('$VAR'(5)),f('$VAR'(1)),i('$VAR'(7),'$VAR'(9)),f('$VAR'(1)),f('$VAR'(1)),h('$VAR'(4),'$VAR'(10),'$VAR'(5)),h('$VAR'(3),'$VAR'(1),'$VAR'(10)),h('$VAR'(8),'$VAR'(5),'$VAR'(6)),g('$VAR'(8),'$VAR'(6))]; [i('$VAR'(16),'$VAR'(12)),h('$VAR'(17),'$VAR'(13),'$VAR'(12)),h('$VAR'(14),'$VAR'(14),'$VAR'(11)),g(S,'$VAR'(17)),g('$VAR'(13),'$VAR'(12)),f('$VAR'(13)),f('$VAR'(14)),g('$VAR'(11),'$VAR'(12)),f('$VAR'(13)),h(T,'$VAR'(13),'$VAR'(13)),h(T,S,'$VAR'(17)),h('$VAR'(15),R,'$VAR'(11)),g(R,'$VAR'(14)),h('$VAR'(15),'$VAR'(11),R),h('$VAR'(13),'$VAR'(12),'$VAR'(13)),f(S),i('$VAR'(16),'$VAR'(12)),f('$VAR'(17))];19;18;3628800;4976640;
 [f('$VAR'(9)),g('$VAR'(7),'$VAR'(10)),f('$VAR'(7)),f('$VAR'(5)),i('$VAR'(4),'$VAR'(6)),i('$VAR'(4),'$VAR'(6)),i('$VAR'(7),'$VAR'(1)),f('$VAR'(4)),i('$VAR'(7),'$VAR'(7)),g('$VAR'(8),'$VAR'(5)),g('$VAR'(9),'$VAR'(10)),i('$VAR'(9),'$VAR'(3)),h('$VAR'(8),'$VAR'(8),'$VAR'(4)),f('$VAR'(1)),f('$VAR'(6)),h('$VAR'(2),'$VAR'(8),'$VAR'(10))]; [g('$VAR'(15),S),h(R,'$VAR'(17),'$VAR'(12)),i(S,'$VAR'(17)),f('$VAR'(12)),i('$VAR'(14),T),i('$VAR'(16),'$VAR'(15)),g('$VAR'(17),'$VAR'(13)),i('$VAR'(11),T),g('$VAR'(13),'$VAR'(16)),f('$VAR'(14)),h(R,'$VAR'(15),'$VAR'(14)),f('$VAR'(13)),g(S,S),h(R,'$VAR'(13),'$VAR'(14)),g(T,'$VAR'(17)),g(R,'$VAR'(12)),g('$VAR'(16),T),f('$VAR'(13)),h(S,T,'$VAR'(12))];16;19;3628800;4147200;
 [h('$VAR'(2),'$VAR'(8),'$VAR'(9)),i('$VAR'(3),'$VAR'(2)),g('$VAR'(6),'$VAR'(3)),i('$VAR'(5),'$VAR'(6)),h('$VAR'(5),'$VAR'(2),'$VAR'(4)),f('$VAR'(5)),f('$VAR'(4)),i('$VAR'(7),'$VAR'(4)),i('$VAR'(4),'$VAR'(8)),i('$VAR'(8),'$VAR'(2)),i('$VAR'(3),'$VAR'(9)),g('$VAR'(4),'$VAR'(8)),g('$VAR'(7),'$VAR'(3)),i('$VAR'(10),'$VAR'(8)),h('$VAR'(2),'$VAR'(6),'$VAR'(9)),h('$VAR'(1),'$VAR'(6),'$VAR'(9))]; [f('$VAR'(12)),h(S,S,'$VAR'(16)),g('$VAR'(14),'$VAR'(13)),h('$VAR'(14),'$VAR'(12),R),h(S,'$VAR'(15),'$VAR'(13)),f('$VAR'(14)),f('$VAR'(13)),h('$VAR'(16),'$VAR'(11),T),g(T,R),f('$VAR'(15)),g('$VAR'(14),S),f('$VAR'(14)),h('$VAR'(17),'$VAR'(13),'$VAR'(15)),f(R),g('$VAR'(12),'$VAR'(12)),h('$VAR'(14),'$VAR'(15),'$VAR'(13)),i('$VAR'(13),'$VAR'(14)),i('$VAR'(11),'$VAR'(12)),g(S,'$VAR'(13))];16;19;3628800;3628800;
 [f('$VAR'(1)),f('$VAR'(1)),h('$VAR'(5),'$VAR'(5),'$VAR'(4)),h('$VAR'(8),'$VAR'(10),'$VAR'(2)),g('$VAR'(2),'$VAR'(8)),g('$VAR'(10),'$VAR'(9)),h('$VAR'(2),'$VAR'(4),'$VAR'(7)),h('$VAR'(4),'$VAR'(7),'$VAR'(1)),g('$VAR'(6),'$VAR'(2)),g('$VAR'(6),'$VAR'(1)),h('$VAR'(3),'$VAR'(10),'$VAR'(10)),i('$VAR'(6),'$VAR'(3)),h('$VAR'(5),'$VAR'(2),'$VAR'(7)),h('$VAR'(2),'$VAR'(1),'$VAR'(2)),g('$VAR'(4),'$VAR'(8)),h('$VAR'(7),'$VAR'(9),'$VAR'(9)),g('$VAR'(2),'$VAR'(3)),f('$VAR'(8)),i('$VAR'(3),'$VAR'(10))]; [g('$VAR'(15),T),i('$VAR'(12),'$VAR'(11)),i('$VAR'(13),'$VAR'(11)),h('$VAR'(15),'$VAR'(17),T),h('$VAR'(11),S,'$VAR'(13)),f(T),f('$VAR'(11)),h('$VAR'(15),'$VAR'(15),'$VAR'(14)),g('$VAR'(12),'$VAR'(17)),f('$VAR'(14)),f('$VAR'(17)),i('$VAR'(12),'$VAR'(13)),f('$VAR'(13)),g('$VAR'(12),'$VAR'(14)),g('$VAR'(16),'$VAR'(17)),h('$VAR'(11),'$VAR'(15),R)];19;16;3628800;3110400;
